"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Sertoli","Leydig","SPP1","ITGA4_ITGB1",6.76594108487968e-05,0,"SPP1_ITGA4_ITGB1","SPP1 - (ITGA4+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263"
"Sertoli","Myoid","SPP1","ITGA4_ITGB1",8.72215588484362e-05,0,"SPP1_ITGA4_ITGB1","SPP1 - (ITGA4+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263"
"Sertoli","Fibroblast","SPP1","ITGA4_ITGB1",0.000278752962346757,0,"SPP1_ITGA4_ITGB1","SPP1 - (ITGA4+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263"
"Sertoli","Endothelial","SPP1","ITGA4_ITGB1",8.57662363505437e-05,0,"SPP1_ITGA4_ITGB1","SPP1 - (ITGA4+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263"
"Sertoli","SSC","SPP1","ITGA9_ITGB1",0.000163598952013726,0,"SPP1_ITGA9_ITGB1","SPP1 - (ITGA9+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263"
"Sertoli","Spermatocyte","SPP1","ITGA9_ITGB1",8.08055732174616e-05,0,"SPP1_ITGA9_ITGB1","SPP1 - (ITGA9+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263"
"Sertoli","Spermatid","SPP1","ITGA9_ITGB1",8.48161007724054e-05,0,"SPP1_ITGA9_ITGB1","SPP1 - (ITGA9+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263"
"Sertoli","Leydig","SPP1","ITGA9_ITGB1",9.94601603322771e-05,0,"SPP1_ITGA9_ITGB1","SPP1 - (ITGA9+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263"
"Sertoli","Myoid","SPP1","ITGA9_ITGB1",0.000277706655950623,0,"SPP1_ITGA9_ITGB1","SPP1 - (ITGA9+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263"
"Sertoli","Fibroblast","SPP1","ITGA9_ITGB1",0.000371069613042277,0,"SPP1_ITGA9_ITGB1","SPP1 - (ITGA9+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263"
"Sertoli","Endothelial","SPP1","ITGA9_ITGB1",0.000123136834217795,0,"SPP1_ITGA9_ITGB1","SPP1 - (ITGA9+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263"
