"celltype","pathway","cluster","dataset","weight"
"Sertoli","GAS","C2","healthy",0.00346697602849435
"Sertoli","IGF","C4","crypto",0.00454194978167682
"Sertoli","IGF","C4","healthy",0.00436554134288887
"Sertoli","JAM","C2","crypto",0.109491009471558
"Sertoli","JAM","C2","healthy",0.0960408250835562
"Sertoli","LAMININ","C4","crypto",0.294536300101863
"Sertoli","LAMININ","C4","healthy",0.253471432832658
"Sertoli","MPZ","C3","crypto",0.0556776849608678
"Sertoli","MPZ","C3","healthy",0.0264525070115342
"Sertoli","NCAM","C2","crypto",0.220911917100802
"Sertoli","NCAM","C4","healthy",0.0458567171777335
"Sertoli","NECTIN","C2","crypto",0.00192824669401153
"Sertoli","NECTIN","C2","healthy",0.00174113282364086
"Sertoli","NGL","C4","healthy",0.000358474496885377
"Sertoli","NOTCH","C2","crypto",0.000305206849864932
"Sertoli","NRG","C4","crypto",0.216221055547652
"Sertoli","NRG","C4","healthy",0.0595152945884921
"Sertoli","NRXN","C4","crypto",0.00230464029901963
"Sertoli","NRXN","C4","healthy",0.0074602059799226
"Sertoli","Netrin","C2","crypto",0.000573614722157111
"Sertoli","Netrin","C2","healthy",0.00010114441582995
"Sertoli","PDGF","C4","crypto",0.00183065830119102
"Sertoli","PDGF","C4","healthy",0.00182038440243955
"Sertoli","PROS","C2","healthy",0.0155954650111285
"Sertoli","PROS","C3","crypto",0.00232380253660708
"Sertoli","PSAP","C2","healthy",0.00245636369307924
"Sertoli","PTN","C1","crypto",0.000296370919934949
"Sertoli","PTPR","C2","healthy",0.00420128891253503
"Sertoli","PTPRM","C4","crypto",0.0169375207583753
"Sertoli","PTPRM","C4","healthy",0.139702658221697
"Sertoli","RELN","C2","healthy",0.000610278534851673
"Sertoli","SEMA3","C4","healthy",0.00018754526323497
"Sertoli","SEMA5","C2","healthy",0.0024692734580035
"Sertoli","SEMA6","C2","healthy",0.000244167742385096
"Sertoli","SEMA6","C4","crypto",0.000151978760934699
"Sertoli","SLIT","C2","crypto",0.00207560229011276
"Sertoli","SPP1","C4","crypto",0.000170839441445823
"Sertoli","TENASCIN","C4","healthy",0.00302747265295531
"Sertoli","Testosterone","C2","crypto",0.0241456678940289
"Sertoli","Testosterone","C4","healthy",0.0474490787882903
"Sertoli","VCAM","C4","healthy",6.39107112289338e-05
"Spermatid","ADGRL","C4","crypto",0.00256357252950525
"Spermatid","ADGRL","C4","healthy",0.00907611765400306
"Spermatid","APP","C2","healthy",0.00101807889904289
"Spermatid","CADM","C4","healthy",0.00733595452174186
"Spermatid","CD39","C4","healthy",0.000424009911563759
"Spermatid","CNTN","C4","healthy",0.000398019696661153
"Spermatid","LAMININ","C4","healthy",0.00200599423704695
