"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Fibroblast","Leydig","LAMB1","ITGA6_ITGB1",2.37850180400551e-05,0,"LAMB1_ITGA6_ITGB1","LAMB1 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Endothelial","Leydig","LAMB1","ITGA6_ITGB1",6.90077624527373e-06,0,"LAMB1_ITGA6_ITGB1","LAMB1 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Myoid","Endothelial","LAMB1","ITGA6_ITGB1",7.88087240889191e-06,0,"LAMB1_ITGA6_ITGB1","LAMB1 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Fibroblast","Endothelial","LAMB1","ITGA6_ITGB1",1.35387829649189e-06,0,"LAMB1_ITGA6_ITGB1","LAMB1 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Endothelial","Endothelial","LAMB1","ITGA6_ITGB1",3.92580210921873e-07,0,"LAMB1_ITGA6_ITGB1","LAMB1 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Spermatocyte","SSC","LAMB2","ITGA6_ITGB1",8.80912605968613e-06,0,"LAMB2_ITGA6_ITGB1","LAMB2 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Spermatocyte","Sertoli","LAMB2","ITGA6_ITGB1",8.22268422235581e-05,0,"LAMB2_ITGA6_ITGB1","LAMB2 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Spermatocyte","Leydig","LAMB2","ITGA6_ITGB1",2.60550937404128e-05,0,"LAMB2_ITGA6_ITGB1","LAMB2 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Spermatocyte","Endothelial","LAMB2","ITGA6_ITGB1",1.48144517745233e-06,0,"LAMB2_ITGA6_ITGB1","LAMB2 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"SSC","SSC","LAMC1","ITGA6_ITGB1",2.07461335418952e-05,0,"LAMC1_ITGA6_ITGB1","LAMC1 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Sertoli","SSC","LAMC1","ITGA6_ITGB1",0.000201550440043962,0,"LAMC1_ITGA6_ITGB1","LAMC1 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Leydig","SSC","LAMC1","ITGA6_ITGB1",3.23413899766423e-05,0,"LAMC1_ITGA6_ITGB1","LAMC1 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Myoid","SSC","LAMC1","ITGA6_ITGB1",1.16882262251992e-05,0,"LAMC1_ITGA6_ITGB1","LAMC1 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Fibroblast","SSC","LAMC1","ITGA6_ITGB1",7.5075233855539e-06,0,"LAMC1_ITGA6_ITGB1","LAMC1 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Endothelial","SSC","LAMC1","ITGA6_ITGB1",3.49661312362547e-06,0,"LAMC1_ITGA6_ITGB1","LAMC1 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"SSC","Sertoli","LAMC1","ITGA6_ITGB1",0.000193300192100153,0,"LAMC1_ITGA6_ITGB1","LAMC1 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Sertoli","Sertoli","LAMC1","ITGA6_ITGB1",0.00187599683438398,0,"LAMC1_ITGA6_ITGB1","LAMC1 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Leydig","Sertoli","LAMC1","ITGA6_ITGB1",0.000301560270507688,0,"LAMC1_ITGA6_ITGB1","LAMC1 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Myoid","Sertoli","LAMC1","ITGA6_ITGB1",0.000108927617422952,0,"LAMC1_ITGA6_ITGB1","LAMC1 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Fibroblast","Sertoli","LAMC1","ITGA6_ITGB1",6.99246561761633e-05,0,"LAMC1_ITGA6_ITGB1","LAMC1 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Endothelial","Sertoli","LAMC1","ITGA6_ITGB1",3.25764502861647e-05,0,"LAMC1_ITGA6_ITGB1","LAMC1 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"SSC","Leydig","LAMC1","ITGA6_ITGB1",6.12989943192235e-05,0,"LAMC1_ITGA6_ITGB1","LAMC1 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Sertoli","Leydig","LAMC1","ITGA6_ITGB1",0.00059517887143563,0,"LAMC1_ITGA6_ITGB1","LAMC1 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Leydig","Leydig","LAMC1","ITGA6_ITGB1",9.55995346876357e-05,0,"LAMC1_ITGA6_ITGB1","LAMC1 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Myoid","Leydig","LAMC1","ITGA6_ITGB1",3.45396587915257e-05,0,"LAMC1_ITGA6_ITGB1","LAMC1 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Fibroblast","Leydig","LAMC1","ITGA6_ITGB1",2.21779630318056e-05,0,"LAMC1_ITGA6_ITGB1","LAMC1 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Endothelial","Leydig","LAMC1","ITGA6_ITGB1",1.03309858463388e-05,0,"LAMC1_ITGA6_ITGB1","LAMC1 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"SSC","Endothelial","LAMC1","ITGA6_ITGB1",3.48831988667301e-06,0,"LAMC1_ITGA6_ITGB1","LAMC1 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Sertoli","Endothelial","LAMC1","ITGA6_ITGB1",3.38860514006242e-05,0,"LAMC1_ITGA6_ITGB1","LAMC1 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Myoid","Endothelial","LAMC1","ITGA6_ITGB1",1.96533498337779e-06,0,"LAMC1_ITGA6_ITGB1","LAMC1 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Fibroblast","Endothelial","LAMC1","ITGA6_ITGB1",1.2622944772669e-06,0,"LAMC1_ITGA6_ITGB1","LAMC1 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Endothelial","Endothelial","LAMC1","ITGA6_ITGB1",5.87926540469449e-07,0,"LAMC1_ITGA6_ITGB1","LAMC1 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Myoid","SSC","LAMC3","ITGA6_ITGB1",1.45274852929762e-05,0,"LAMC3_ITGA6_ITGB1","LAMC3 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Fibroblast","SSC","LAMC3","ITGA6_ITGB1",6.18199269046635e-06,0,"LAMC3_ITGA6_ITGB1","LAMC3 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Myoid","Sertoli","LAMC3","ITGA6_ITGB1",0.0001353250466775,0,"LAMC3_ITGA6_ITGB1","LAMC3 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Fibroblast","Sertoli","LAMC3","ITGA6_ITGB1",5.76041582726094e-05,0,"LAMC3_ITGA6_ITGB1","LAMC3 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Myoid","Leydig","LAMC3","ITGA6_ITGB1",4.29186415545832e-05,0,"LAMC3_ITGA6_ITGB1","LAMC3 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Fibroblast","Leydig","LAMC3","ITGA6_ITGB1",1.82667693190269e-05,0,"LAMC3_ITGA6_ITGB1","LAMC3 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Myoid","Endothelial","LAMC3","ITGA6_ITGB1",2.44264024184688e-06,0,"LAMC3_ITGA6_ITGB1","LAMC3 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Fibroblast","Endothelial","LAMC3","ITGA6_ITGB1",1.03946640365576e-06,0,"LAMC3_ITGA6_ITGB1","LAMC3 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Sertoli","SSC","LAMA1","ITGA9_ITGB1",0.000893251789999889,0.04,"LAMA1_ITGA9_ITGB1","LAMA1 - (ITGA9+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Sertoli","Sertoli","LAMA1","ITGA9_ITGB1",0.00962457310277469,0,"LAMA1_ITGA9_ITGB1","LAMA1 - (ITGA9+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"SSC","Leydig","LAMA1","ITGA9_ITGB1",0.000440421345430222,0,"LAMA1_ITGA9_ITGB1","LAMA1 - (ITGA9+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Sertoli","Leydig","LAMA1","ITGA9_ITGB1",0.00671438534136345,0,"LAMA1_ITGA9_ITGB1","LAMA1 - (ITGA9+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"SSC","Myoid","LAMA1","ITGA9_ITGB1",0.000141215375680569,0,"LAMA1_ITGA9_ITGB1","LAMA1 - (ITGA9+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Sertoli","Myoid","LAMA1","ITGA9_ITGB1",0.00212405678482206,0,"LAMA1_ITGA9_ITGB1","LAMA1 - (ITGA9+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Sertoli","Fibroblast","LAMA1","ITGA9_ITGB1",0.00047264735032876,0,"LAMA1_ITGA9_ITGB1","LAMA1 - (ITGA9+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Sertoli","Endothelial","LAMA1","ITGA9_ITGB1",0.000209488651112769,0,"LAMA1_ITGA9_ITGB1","LAMA1 - (ITGA9+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Myoid","SSC","LAMA2","ITGA9_ITGB1",9.66338565267969e-05,0,"LAMA2_ITGA9_ITGB1","LAMA2 - (ITGA9+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Fibroblast","SSC","LAMA2","ITGA9_ITGB1",4.76611919223144e-05,0,"LAMA2_ITGA9_ITGB1","LAMA2 - (ITGA9+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Myoid","Spermatocyte","LAMA2","ITGA9_ITGB1",0.000164267959586678,0,"LAMA2_ITGA9_ITGB1","LAMA2 - (ITGA9+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Fibroblast","Spermatocyte","LAMA2","ITGA9_ITGB1",8.10248084386285e-05,0,"LAMA2_ITGA9_ITGB1","LAMA2 - (ITGA9+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Myoid","Spermatid","LAMA2","ITGA9_ITGB1",0.000100557379524721,0,"LAMA2_ITGA9_ITGB1","LAMA2 - (ITGA9+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Fibroblast","Spermatid","LAMA2","ITGA9_ITGB1",4.95996147594971e-05,0,"LAMA2_ITGA9_ITGB1","LAMA2 - (ITGA9+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Spermatid","Sertoli","LAMA2","ITGA9_ITGB1",0.000358258454701459,0,"LAMA2_ITGA9_ITGB1","LAMA2 - (ITGA9+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Leydig","Sertoli","LAMA2","ITGA9_ITGB1",0.000521215817976988,0,"LAMA2_ITGA9_ITGB1","LAMA2 - (ITGA9+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Myoid","Sertoli","LAMA2","ITGA9_ITGB1",0.00103825786589976,0,"LAMA2_ITGA9_ITGB1","LAMA2 - (ITGA9+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Fibroblast","Sertoli","LAMA2","ITGA9_ITGB1",0.000512027155779642,0,"LAMA2_ITGA9_ITGB1","LAMA2 - (ITGA9+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Spermatocyte","Leydig","LAMA2","ITGA9_ITGB1",0.000227669155353591,0,"LAMA2_ITGA9_ITGB1","LAMA2 - (ITGA9+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
