"gene","status"
"SIGLEC1","PRESENT"
"THY1","PRESENT"
"VSIR","PRESENT"
"CDH3","PRESENT"
"CDH12","PRESENT"
"GJA5","PRESENT"
"GJA1","PRESENT"
"GJC1","PRESENT"
"GJA3","PRESENT"
"CLDN1","PRESENT"
"CLDN2","PRESENT"
"CLDN3","PRESENT"
"PCDHA3","PRESENT"
"PCDHB1","PRESENT"
"PCDHB2","PRESENT"
"PCDHB3","PRESENT"
"PCDHB4","PRESENT"
"PCDHB5","PRESENT"
"PCDHB6","PRESENT"
"PCDHB7","PRESENT"
"PCDHB8","PRESENT"
"PCDHGC3","PRESENT"
"KLK6","PRESENT"
"KLK5","PRESENT"
"KLK1","PRESENT"
"KLK14","PRESENT"
"KLK7","PRESENT"
"KLK8","PRESENT"
"PROC","PRESENT"
"SDC1","PRESENT"
"SDC2","PRESENT"
"TAX1BP3","PRESENT"
"RTN4R","PRESENT"
"C1QL1","PRESENT"
"C1QL2","PRESENT"
"C1QL3","PRESENT"
"C1QL4","PRESENT"
"CD55","PRESENT"
"LPAR1","PRESENT"
"LPAR2","PRESENT"
"LPAR3","PRESENT"
"SFTPD","PRESENT"
"GAST","PRESENT"
"TGM2","PRESENT"
"PRNP","PRESENT"
"FLRT1","PRESENT"
"FLRT2","PRESENT"
"FLRT3","PRESENT"
"TENM1","PRESENT"
"TENM2","PRESENT"
"TENM3","PRESENT"
"TENM4","PRESENT"
"UNC5A","PRESENT"
"TAFA4","PRESENT"
"LRFN4","PRESENT"
"LRFN5","PRESENT"
"PTPRS","PRESENT"
"PNOC","PRESENT"
"SLITRK1","PRESENT"
"SLITRK2","PRESENT"
"SLITRK3","PRESENT"
"SLITRK4","PRESENT"
"SLITRK5","PRESENT"
"SLITRK6","PRESENT"
"APOA1","PRESENT"
"APOA2","PRESENT"
"APOB","PRESENT"
"APOE","PRESENT"
"CD160","PRESENT"
"CD276","PRESENT"
"CRTAM","PRESENT"
"IGFBP3","PRESENT"
"MMP2","PRESENT"
"NTN1","PRESENT"
"NTN4","PRESENT"
"CD200","PRESENT"
"PPIA","PRESENT"
"RBP4","PRESENT"
"SLIT1","PRESENT"
"SLIT2","PRESENT"
"TULP2","PRESENT"
"TUB","PRESENT"
"PLAU","PRESENT"
"VCAM1","PRESENT"
"TGFBR2","PRESENT"
"ACVR2A","PRESENT"
"ACVR2B","PRESENT"
"FZD1","PRESENT"
"FZD10","PRESENT"
"FZD2","PRESENT"
"FZD3","PRESENT"
"FZD4","PRESENT"
"FZD5","PRESENT"
"FZD6","PRESENT"
"FZD7","PRESENT"
"FZD8","PRESENT"
"FZD9","PRESENT"
"MCAM","PRESENT"
"EGFR","PRESENT"
"ERBB4","PRESENT"
"ERBB3","PRESENT"
"FGFR1","PRESENT"
"FGFR2","PRESENT"
"FGFR3","PRESENT"
"FGFR4","PRESENT"
"PDGFRA","PRESENT"
"PDGFRB","PRESENT"
"FLT1","PRESENT"
"KDR","PRESENT"
"FLT4","PRESENT"
"IGF1R","PRESENT"
"IGF2R","PRESENT"
"IGFLR1","PRESENT"
"INSR","PRESENT"
"APLNR","PRESENT"
"CCR1","PRESENT"
"CCR2","PRESENT"
"CCR3","PRESENT"
"CCR4","PRESENT"
"CCR5","PRESENT"
"CCR6","PRESENT"
"CCR7","PRESENT"
"ACKR4","PRESENT"
"CCR8","PRESENT"
"CCR9","PRESENT"
"CCR10","PRESENT"
"ACKR1","PRESENT"
"ACKR2","PRESENT"
"CXCR2","PRESENT"
"CXCR3","PRESENT"
"CXCR4","PRESENT"
"ACKR3","PRESENT"
"CXCR5","PRESENT"
"CXCR6","PRESENT"
"CX3CR1","PRESENT"
"XCR1","PRESENT"
"IL4R","PRESENT"
"IL13RA1","PRESENT"
"IL13RA2","PRESENT"
"IL1R2","PRESENT"
"IL17RB","PRESENT"
"CSF1R","PRESENT"
"CD4","PRESENT"
"EPOR","PRESENT"
"GHR","PRESENT"
"PRLR","PRESENT"
"MPL","PRESENT"
"CSF3R","PRESENT"
"TNFRSF1A","PRESENT"
"TNFRSF1B","PRESENT"
"TNFRSF14","PRESENT"
"LTBR","PRESENT"
"FAS","PRESENT"
"TNFRSF25","PRESENT"
"EDAR","PRESENT"
"EDA2R","PRESENT"
"NGFR","PRESENT"
"TNFRSF11A","PRESENT"
"TNFRSF11B","PRESENT"
"TNFRSF12A","PRESENT"
"CD27","PRESENT"
"TNFRSF8","PRESENT"
"TNFRSF9","PRESENT"
"TNFRSF4","PRESENT"
"TNFRSF18","PRESENT"
"TNFRSF17","PRESENT"
"TNFRSF13B","PRESENT"
"TNFRSF13C","PRESENT"
"CD44","PRESENT"
"ADIPOR1","PRESENT"
"ADIPOR2","PRESENT"
"TLR4","PRESENT"
"CAP1","PRESENT"
"CDH11","PRESENT"
"SDC3","PRESENT"
"SDC4","PRESENT"
"TEK","PRESENT"
"PTPRZ1","PRESENT"
"LRP1","PRESENT"
"ALK","PRESENT"
"AGTR1","PRESENT"
"GRPR","PRESENT"
"NMBR","PRESENT"
"BDKRB1","PRESENT"
"BDKRB2","PRESENT"
"C3AR1","PRESENT"
"C5AR1","PRESENT"
"CCKAR","PRESENT"
"CCKBR","PRESENT"
"EDNRA","PRESENT"
"EDNRB","PRESENT"
"GALR1","PRESENT"
"GALR2","PRESENT"
"GALR3","PRESENT"
"GHSR","PRESENT"
"KISS1R","PRESENT"
"MC1R","PRESENT"
"MC2R","PRESENT"
"MC3R","PRESENT"
"MC4R","PRESENT"
"MC5R","PRESENT"
"NMUR1","PRESENT"
"NMUR2","PRESENT"
"NPFFR1","PRESENT"
"NPFFR2","PRESENT"
"NPY1R","PRESENT"
"NPY2R","PRESENT"
"NPY4R","PRESENT"
"NPY5R","PRESENT"
"GPR83","PRESENT"
"NPBWR1","PRESENT"
"NTSR1","PRESENT"
"NTSR2","PRESENT"
"OPRD1","PRESENT"
"OPRK1","PRESENT"
"OPRL1","PRESENT"
"OPRM1","PRESENT"
"HCRTR1","PRESENT"
"HCRTR2","PRESENT"
"OXTR","PRESENT"
"SSTR1","PRESENT"
"SSTR2","PRESENT"
"SSTR3","PRESENT"
"SSTR4","PRESENT"
"SSTR5","PRESENT"
"TACR1","PRESENT"
"TACR2","PRESENT"
"TACR3","PRESENT"
"UTS2R","PRESENT"
"AVPR2","PRESENT"
"AVPR1A","PRESENT"
"AVPR1B","PRESENT"
"PRLHR","PRESENT"
"F2R","PRESENT"
"F2RL1","PRESENT"
"F2RL2","PRESENT"
"F2RL3","PRESENT"
"PARD3","PRESENT"
"MCHR1","PRESENT"
"PROKR2","PRESENT"
"PROKR1","PRESENT"
"ADCYAP1R1","PRESENT"
"VIPR1","PRESENT"
"VIPR2","PRESENT"
"NPR1","PRESENT"
"NPR2","PRESENT"
"KIT","PRESENT"
"GIPR","PRESENT"
"FSHR","PRESENT"
"LHCGR","PRESENT"
"TSHR","PRESENT"
"NTRK2","PRESENT"
"NTRK1","PRESENT"
"FLT3","PRESENT"
"MET","PRESENT"
"NTRK3","PRESENT"
"PLXND1","PRESENT"
"CALCR","PRESENT"
"CALCRL","PRESENT"
"MAS1","PRESENT"
"CRHR1","PRESENT"
"CRHR2","PRESENT"
"GPR19","PRESENT"
"AXL","PRESENT"
"MERTK","PRESENT"
"TYRO3","PRESENT"
"GCGR","PRESENT"
"GLP1R","PRESENT"
"GLP2R","PRESENT"
"GHRHR","PRESENT"
"GNRHR","PRESENT"
"SORT1","PRESENT"
"GUCY2C","PRESENT"
"RXFP2","PRESENT"
"RXFP1","PRESENT"
"RXFP4","PRESENT"
"RXFP3","PRESENT"
"LEPR","PRESENT"
"NPSR1","PRESENT"
"NPR3","PRESENT"
"GPR37L1","PRESENT"
"GPR37","PRESENT"
"PTH1R","PRESENT"
"PTH2R","PRESENT"
"QRFPR","PRESENT"
"CMKLR1","PRESENT"
"MARCO","PRESENT"
"SCTR","PRESENT"
"CHRNB1","PRESENT"
"CHRNB2","PRESENT"
"CHRNB3","PRESENT"
"CHRNB4","PRESENT"
"CHRNA1","PRESENT"
"CHRNA2","PRESENT"
"CHRNA3","PRESENT"
"CHRNA4","PRESENT"
"CHRNA5","PRESENT"
"CHRNA6","PRESENT"
"CHRNA9","PRESENT"
"CHRNA10","PRESENT"
"CHRND","PRESENT"
"CHRNE","PRESENT"
"CHRNG","PRESENT"
"TRHR","PRESENT"
"NCR3","PRESENT"
"HAVCR2","PRESENT"
"SV2A","PRESENT"
"SV2B","PRESENT"
"SV2C","PRESENT"
"CD36","PRESENT"
"GP6","PRESENT"
"CD47","PRESENT"
"DAG1","PRESENT"
"CD74","PRESENT"
"SELP","PRESENT"
"ADORA1","PRESENT"
"ADORA2A","PRESENT"
"ADORA2B","PRESENT"
"TMIGD3","PRESENT"
"CD40","PRESENT"
"CD22","PRESENT"
"MRC1","PRESENT"
"CD244","PRESENT"
"ALCAM","PRESENT"
"CD28","PRESENT"
"CTLA4","PRESENT"
"PILRA","PRESENT"
"CD99L2","PRESENT"
"KLRG1","PRESENT"
"KLRB1","PRESENT"
"NRCAM","PRESENT"
"DSG1","PRESENT"
"DSG2","PRESENT"
"EPHA1","PRESENT"
"EPHA2","PRESENT"
"EPHA3","PRESENT"
"EPHA4","PRESENT"
"EPHA5","PRESENT"
"EPHA7","PRESENT"
"EPHA8","PRESENT"
"EPHB2","PRESENT"
"EPHB1","PRESENT"
"EPHB3","PRESENT"
"EPHB4","PRESENT"
"EPHB6","PRESENT"
"ITGAL","PRESENT"
"SPN","PRESENT"
"ICOS","PRESENT"
"CD8B","PRESENT"
"KLRK1","PRESENT"
"NECTIN4","PRESENT"
"TIGIT","PRESENT"
"CD226","PRESENT"
"NTNG1","PRESENT"
"NTNG2","PRESENT"
"PTPRF","PRESENT"
"NOTCH1","PRESENT"
"NOTCH2","PRESENT"
"NOTCH3","PRESENT"
