"human_symbol","n_horse_genes","n_present","best_gene","best_expr","non_loc_gene","non_loc_expr","non_loc_is_best","all_genes"
"TMEM144",2,2,"TMEM144",1417,"TMEM144",1417,TRUE,"LOC111770359=18; TMEM144=1417"
"TMEM178A",2,2,"TMEM178A",1590,"TMEM178A",1590,TRUE,"LOC111768119=518; TMEM178A=1590"
"TMEM232",3,3,"TMEM232",11874,"TMEM232",11874,TRUE,"LOC111767856=0; LOC111771801=1; TMEM232=11874"
"TMEM242",2,2,"TMEM242",72419,"TMEM242",72419,TRUE,"LOC100050462=0; TMEM242=72419"
"TMEM273",2,2,"TMEM273",12019,"TMEM273",12019,TRUE,"LOC106782181=97; TMEM273=12019"
"TMEM278",2,2,"TMEM88B",171,"TMEM88B",171,TRUE,"LOC111772479=37; TMEM88B=171"
"TNN",2,2,"TNN",29414,"TNN",29414,TRUE,"LOC106783138=0; TNN=29414"
"TOMM6",2,2,"TOMM6",4596,"TOMM6",4596,TRUE,"LOC111769326=1619; TOMM6=4596"
"TOX3",3,3,"LOC111772249",5,NA,NA,NA,"LOC111772249=5; LOC111772749=0; LOC111772750=0"
"TPD52",3,3,"LOC111767503",29783,NA,NA,NA,"LOC100058422=45; LOC111767442=34; LOC111767503=29783"
"TRIM23",4,4,"LOC111769713",97,"TRIM23",3,FALSE,"LOC111769713=97; LOC111769716=42; LOC111772291=0; TRIM23=3"
"TRIOBP",5,5,"TRIOBP",159,"TRIOBP",159,TRUE,"LOC111767399=1; LOC111771000=1; LOC111771128=0; LOC111772324=0; TRIOBP=159"
"TSHR",3,3,"LOC111772111",11,"TSHR",0,FALSE,"LOC111770367=0; LOC111772111=11; TSHR=0"
"TSPAN12",2,2,"TSPAN12",2466,"TSPAN12",2466,TRUE,"LOC111773229=92; TSPAN12=2466"
"TTLL9",2,2,"TTLL9",10550,"TTLL9",10550,TRUE,"LOC111769977=212; TTLL9=10550"
"UBASH3B",2,2,"UBASH3B",4740,"UBASH3B",4740,TRUE,"LOC111774145=57; UBASH3B=4740"
"UBL4B",2,2,"LOC106783221",774,"UBL4B",309,FALSE,"LOC106783221=774; UBL4B=309"
"UNC5C",2,2,"UNC5C",26611,"UNC5C",26611,TRUE,"LOC111772849=4; UNC5C=26611"
"UPRT",2,2,"UPRT",10521,"UPRT",10521,TRUE,"LOC111771585=9642; UPRT=10521"
"USP11",2,2,"USP11",47723,"USP11",47723,TRUE,"LOC111771613=0; USP11=47723"
"UXT",2,2,"UXT",1110,"UXT",1110,TRUE,"LOC111771614=1010; UXT=1110"
"VCAM1",2,2,"LOC111773572",12283,"VCAM1",7765,FALSE,"LOC111773572=12283; VCAM1=7765"
"VDAC1",2,2,"VDAC1",8953,"VDAC1",8953,TRUE,"LOC111767812=1031; VDAC1=8953"
"VGLL2",2,2,"VGLL2",176,"VGLL2",176,TRUE,"LOC102150549=31; VGLL2=176"
"VMA21",2,2,"VMA21",1,"VMA21",1,TRUE,"LOC100629715=0; VMA21=1"
"VPS35L",3,3,"VPS35L",23670,"VPS35L",23670,TRUE,"LOC111767545=23; LOC111772319=9; VPS35L=23670"
"VSX1",2,2,"LOC102150786",58,NA,NA,NA,"LOC102150786=58; LOC111770061=1"
"WDFY1",3,3,"LOC111771776",27,"WDFY1",13,FALSE,"LOC111767500=0; LOC111771776=27; WDFY1=13"
"WDR37",2,2,"WDR37",115382,"WDR37",115382,TRUE,"LOC111771202=1228; WDR37=115382"
"WDR5",2,2,"WDR5",10027,"WDR5",10027,TRUE,"LOC102149835=249; WDR5=10027"
"WFDC1",2,2,"WFDC1",7358,"WFDC1",7358,TRUE,"LOC111772804=510; WFDC1=7358"
"XIRP2",2,2,"LOC111768849",48207,"XIRP2",7253,FALSE,"LOC111768849=48207; XIRP2=7253"
"YY1",2,2,"YY1",79957,"YY1",79957,TRUE,"LOC111770412=0; YY1=79957"
"ZDHHC13",4,4,"LOC111774376",3742,"ZDHHC13",190,FALSE,"LOC111767412=163; LOC111771809=0; LOC111774376=3742; ZDHHC13=190"
"ZFHX3",2,2,"ZFHX3",285218,"ZFHX3",285218,TRUE,"LOC106782959=164504; ZFHX3=285218"
"ZFPM2",2,2,"ZFPM2",160186,"ZFPM2",160186,TRUE,"LOC111774999=6309; ZFPM2=160186"
