"gene","reason"
"FZD8_LRP6","NO_ORTHOLOG_IN_MAPPING"
"FZD9_LRP6","NO_ORTHOLOG_IN_MAPPING"
"EGFR_ERBB2","NO_ORTHOLOG_IN_MAPPING"
"ERBB2_ERBB4","NO_ORTHOLOG_IN_MAPPING"
"ERBB2_ERBB3","NO_ORTHOLOG_IN_MAPPING"
"FLT1_KDR","NO_ORTHOLOG_IN_MAPPING"
"FLT4_KDR","NO_ORTHOLOG_IN_MAPPING"
"ITGA6_ITGB4","NO_ORTHOLOG_IN_MAPPING"
"PTCH1_SMO","NO_ORTHOLOG_IN_MAPPING"
"PTCH2_SMO","NO_ORTHOLOG_IN_MAPPING"
"CXCR1","NO_ORTHOLOG_IN_MAPPING"
"CD74_CXCR4","NO_ORTHOLOG_IN_MAPPING"
"CD74_CD44","NO_ORTHOLOG_IN_MAPPING"
"CD74_CXCR2","NO_ORTHOLOG_IN_MAPPING"
"IL2RA_IL2RB","NO_ORTHOLOG_IN_MAPPING"
"IL2RB_IL2RG","NO_ORTHOLOG_IN_MAPPING"
"IL4R_IL2RG","NO_ORTHOLOG_IN_MAPPING"
"IL7R_IL2RG","NO_ORTHOLOG_IN_MAPPING"
"IL9R_IL2RG","NO_ORTHOLOG_IN_MAPPING"
"IL15RA_IL2RB","NO_ORTHOLOG_IN_MAPPING"
"IL21R_IL2RG","NO_ORTHOLOG_IN_MAPPING"
"IL7R_CRLF2","NO_ORTHOLOG_IN_MAPPING"
"IL3RA_CSF2RB","NO_ORTHOLOG_IN_MAPPING"
"IL5RA_CSF2RB","NO_ORTHOLOG_IN_MAPPING"
"CSF2RA_CSF2RB","NO_ORTHOLOG_IN_MAPPING"
"IL4R_IL13RA1","NO_ORTHOLOG_IN_MAPPING"
"IL4R_IL13RA2","NO_ORTHOLOG_IN_MAPPING"
"IL6R_IL6ST","NO_ORTHOLOG_IN_MAPPING"
"IL11R complex","NO_ORTHOLOG_IN_MAPPING"
"IL12RB1_IL12RB2","NO_ORTHOLOG_IN_MAPPING"
"IL23R_IL12RB1","NO_ORTHOLOG_IN_MAPPING"
"IL27RA_IL6ST","NO_ORTHOLOG_IN_MAPPING"
"IL31RA_OSMR","NO_ORTHOLOG_IN_MAPPING"
"CNTFR_LIFR","NO_ORTHOLOG_IN_MAPPING"
"LIFR_IL6ST","NO_ORTHOLOG_IN_MAPPING"
"OSMR_IL6ST","NO_ORTHOLOG_IN_MAPPING"
"IL10RA_IL10RB","NO_ORTHOLOG_IN_MAPPING"
"IL20RA_IL20RB","NO_ORTHOLOG_IN_MAPPING"
"IL22RA1_IL20RB","NO_ORTHOLOG_IN_MAPPING"
"IL22RA1_IL10RB","NO_ORTHOLOG_IN_MAPPING"
"IL20RA_IL10RB","NO_ORTHOLOG_IN_MAPPING"
"IL1R1_IL1RAP","NO_ORTHOLOG_IN_MAPPING"
"IL1RL2_IL1RAP","NO_ORTHOLOG_IN_MAPPING"
"IL18R1_IL18RAP","NO_ORTHOLOG_IN_MAPPING"
"IL1RL1_IL1RAP","NO_ORTHOLOG_IN_MAPPING"
"IL17RA_IL17RC","NO_ORTHOLOG_IN_MAPPING"
"IL17RA_IL17RE","NO_ORTHOLOG_IN_MAPPING"
"IL17RA_IL17RB","NO_ORTHOLOG_IN_MAPPING"
"IFNAR1_IFNAR2","NO_ORTHOLOG_IN_MAPPING"
"IFNGR1_IFNGR2","NO_ORTHOLOG_IN_MAPPING"
"TNFRSF10A","NO_ORTHOLOG_IN_MAPPING"
"ITGA2B_ITGB3","NO_ORTHOLOG_IN_MAPPING"
"ITGA5_ITGB1","NO_ORTHOLOG_IN_MAPPING"
"ITGAM_ITGB2","NO_ORTHOLOG_IN_MAPPING"
"ITGAV_ITGB6","NO_ORTHOLOG_IN_MAPPING"
"ITGA8_ITGB1","NO_ORTHOLOG_IN_MAPPING"
"ITGA1_ITGB1","NO_ORTHOLOG_IN_MAPPING"
"LILRB3","NO_ORTHOLOG_IN_MAPPING"
"ITGA6_ITGB1","NO_ORTHOLOG_IN_MAPPING"
"NCL","NO_ORTHOLOG_IN_MAPPING"
"CR2","NO_ORTHOLOG_IN_MAPPING"
"ITGAX_ITGB2","NO_ORTHOLOG_IN_MAPPING"
"NPY6R","NO_ORTHOLOG_IN_MAPPING"
"NRP1_PLXNA1","NO_ORTHOLOG_IN_MAPPING"
"NRP1_PLXNA2","NO_ORTHOLOG_IN_MAPPING"
"NRP1_PLXNA3","NO_ORTHOLOG_IN_MAPPING"
"NRP1_PLXNA4","NO_ORTHOLOG_IN_MAPPING"
"NRP2_PLXNA1","NO_ORTHOLOG_IN_MAPPING"
"NRP2_PLXNA2","NO_ORTHOLOG_IN_MAPPING"
"NRP2_PLXNA3","NO_ORTHOLOG_IN_MAPPING"
"NRP2_PLXNA4","NO_ORTHOLOG_IN_MAPPING"
"NRP1_NRP2","NO_ORTHOLOG_IN_MAPPING"
"FPR2","NO_ORTHOLOG_IN_MAPPING"
"FPR1","NO_ORTHOLOG_IN_MAPPING"
"GPR1","NO_ORTHOLOG_IN_MAPPING"
"CHRNA7","NO_ORTHOLOG_IN_MAPPING"
"ITGA2_ITGB1","NO_ORTHOLOG_IN_MAPPING"
"ITGA3_ITGB1","NO_ORTHOLOG_IN_MAPPING"
"ITGA7_ITGB1","NO_ORTHOLOG_IN_MAPPING"
"ITGA10_ITGB1","NO_ORTHOLOG_IN_MAPPING"
"ITGA11_ITGB1","NO_ORTHOLOG_IN_MAPPING"
"ITGAV_ITGB8","NO_ORTHOLOG_IN_MAPPING"
"GP complex","NO_ORTHOLOG_IN_MAPPING"
"FPR2_LXA4","NO_ORTHOLOG_IN_MAPPING"
"ITGAE_ITGB7","NO_ORTHOLOG_IN_MAPPING"
"CNTN1_CNTNAP1","NO_ORTHOLOG_IN_MAPPING"
"CNTN2_CNTNAP2","NO_ORTHOLOG_IN_MAPPING"
"ITGAL_ITGB2","NO_ORTHOLOG_IN_MAPPING"
"CD8 receptor","NO_ORTHOLOG_IN_MAPPING"
"CD8B2","NO_ORTHOLOG_IN_MAPPING"
"KIR2DL1","NO_ORTHOLOG_IN_MAPPING"
"KIR2DL2","NO_ORTHOLOG_IN_MAPPING"
"KIR2DL3","NO_ORTHOLOG_IN_MAPPING"
"KIR2DS1","NO_ORTHOLOG_IN_MAPPING"
"KIR2DS4","NO_ORTHOLOG_IN_MAPPING"
"LILRB1","NO_ORTHOLOG_IN_MAPPING"
"LILRB2","NO_ORTHOLOG_IN_MAPPING"
"KIR3DL1","NO_ORTHOLOG_IN_MAPPING"
"KIR3DL2","NO_ORTHOLOG_IN_MAPPING"
"KIR3DL3","NO_ORTHOLOG_IN_MAPPING"
"KLRC1","NO_ORTHOLOG_IN_MAPPING"
"KLRC2","NO_ORTHOLOG_IN_MAPPING"
"KIR3DS1","NO_ORTHOLOG_IN_MAPPING"
"CD94:NKG2A","NO_ORTHOLOG_IN_MAPPING"
"CD94:NKG2C","NO_ORTHOLOG_IN_MAPPING"
"CD94:NKG2E","NO_ORTHOLOG_IN_MAPPING"
"GLYCAM1","NO_ORTHOLOG_IN_MAPPING"
"PLXNA1_KDR","NO_ORTHOLOG_IN_MAPPING"
"PLXNA1_TREM2","NO_ORTHOLOG_IN_MAPPING"
"ITGB1_ITGA1","NO_ORTHOLOG_IN_MAPPING"
"CALCR_RAMP1","NO_ORTHOLOG_IN_MAPPING"
